star_name,Simbad_ID,GaiaDR3_ID,distance_pc,ra_combined,dec_combined
LP  491-51,LP  491-51,Gaia DR3 3968118399284369280,15.171600341796875,165.83769461159238,13.632847157123214
2MASS J18062369-3601237,2MASS J18062369-3601237,Gaia DR3 4038724053950164096,17.108699798583984,271.5994368768923,-36.02315817876133
HD 161529,HD 161529,Gaia DR3 4041035021153396864,261.11024074364195,266.91382660612965,-35.80690037717298
HD 162186,HD 162186,Gaia DR3 4043524762244704000,133.7156982421875,267.7784909872134,-32.30780580378923
ASAS J182019-3320.1,ASAS J182019-3320.1,Gaia DR3 4045501993383480960,250.64280700683594,275.0767391087396,-33.33572875107981
LP  923-19,LP  923-19,Gaia DR3 4046709875578636672,17.218164474794328,278.84201284819926,-31.396680739248108
Gaia DR3 4057846210342377600,,Gaia DR3 4057846210342377600,,261.15174736891186,-31.880436368832306
HD 314741,HD 314741,Gaia DR3 4063811988637931904,31.449211096539642,268.72572828931925,-26.828670553644802
Gaia DR3 4070354800072273792,Gaia DR3 4070354800072273792,Gaia DR3 4070354800072273792,101.1897964477539,269.14532270692183,-21.98836434165858
HD 315687,HD 315687,Gaia DR3 4076961323155541504,324.99688720703125,276.74824418548263,-25.34993072795592
V* V4138 Sgr,V* V4138 Sgr,Gaia DR3 4082719809063565696,75.59359741210938,290.6679563065285,-20.643374230682568
HD 179024,HD 179024,Gaia DR3 4083990466553336192,167.7458953857422,287.93899123541945,-19.189256044121965
2MASS J18565784-2126185,2MASS J18565784-2126185,Gaia DR3 4084819395253362944,555.5477905273438,284.2409648882147,-21.438540149120595
V* V4379 Sgr,HD 165202,Gaia DR3 4095030181777183616,168.7613983154297,271.3887877137938,-19.754209900269903
Gaia DR3 4117614627330721152,,Gaia DR3 4117614627330721152,321.6383972167969,263.81543841210464,-22.026812997577437
HD 154204,HD 154204,Gaia DR3 4127980792913041664,160.82220458984375,256.18883676213704,-20.49481074178544
V* V1010 Oph,V* V1010 Oph,Gaia DR3 4134106172174615680,75.08014805805196,252.3652839254988,-15.667907211497148
Gaia DR3 4135451184146617984,,Gaia DR3 4135451184146617984,132.75970458984375,257.28085211567696,-17.87890232263733
G 154-44,G 154-44,Gaia DR3 4145870293808914688,7.971246120992356,271.88396508794,-15.964616826018132
V* MY Ser,HD 167971,Gaia DR3 4153657378750644864,702.9998779296875,274.5245623363966,-12.242595907153905
Wolf 1473,Wolf 1473,Gaia DR3 4165561928540617856,13.065729766737526,266.6220201822353,-8.712042478984
TYC 5662-317-1,TYC 5662-317-1,Gaia DR3 4166093782931002112,226.07899475097656,262.11559210731315,-10.6080395590828
V* V1379 Aql,HD 185510,Gaia DR3 4208938315090181248,177.39669799804688,294.9118557189863,-6.063862831475821
V* AE Aqr,V* AE Aqr,Gaia DR3 4226332451596335616,91.87259674072266,310.0384797217098,-0.8707909181473499
V* V1658 Aql,V* V1658 Aql,Gaia DR3 4247697027679913728,262.5622863769531,302.68258415719015,4.913504062044551
