Name,RA,DEC,Dist,frequency
* alf Psc A,30.511904676677545,2.7637593166659924,50.50632591732115,855.5
* alf Psc A,30.511904676677545,2.7637593166659924,50.50632591732115,855.5
V* EI Cnc,134.56275708333334,19.763044444444443,5.2631578947368425,855.5
V* EI Cnc,134.56275708333334,19.763044444444443,5.2631578947368425,855.5
V* V711 Tau,54.196900129947615,0.5870418111533462,29.430548320545764,855.5
V* V711 Tau,54.196900129947615,0.5870418111533462,29.430548320545764,855.5
Gaia DR3 3667302325846472320,213.06566557520827,2.4093101388858527,77.28610229492188,855.5
WT 713,307.3350155678066,-51.496245485503934,37.39250183105469,855.5
Gaia DR3 3667302325846472320,213.06566557520827,2.4093101388858527,77.28610229492188,855.5
UPM J0250-0559,42.66805334782239,-5.998153255557502,30.11667198727872,855.5
2MASS J20390476-4117390,309.7702826436394,-41.294394654565394,38.88890075683594,855.5
V* EI Cnc,134.56275708333334,19.763044444444443,5.2631578947368425,855.5
V* EI Cnc,134.56275708333334,19.763044444444443,5.2631578947368425,855.5
V* SZ Psc,348.3491821413064,2.675562277711697,112.4437026977539,855.5
V* SZ Psc,348.3491821413064,2.675562277711697,112.4437026977539,855.5
V* SZ Psc,348.3491821413064,2.675562277711697,112.4437026977539,855.5
V* CS Cet,16.70409486754384,-22.85625726533498,93.49109649658205,855.5
V* SZ Psc,348.3491821413064,2.675562277711697,112.4437026977539,855.5
V* CS Cet,16.70409486754384,-22.85625726533498,93.49109649658205,855.5
V* SZ Psc,348.3491821413064,2.675562277711697,112.4437026977539,855.5
V* SZ Psc,348.3491821413064,2.675562277711697,112.4437026977539,855.5
SCR J0103-5515,15.89929865424943,-55.26584034118928,47.21435316336167,855.5
V* V711 Tau,54.196900129947615,0.5870418111533462,29.430548320545764,855.5
Gaia DR3 3667302325846472320,213.06566557520827,2.4093101388858527,77.28610229492188,855.5
Gaia DR3 3667302325846472320,213.06566557520827,2.4093101388858527,77.28610229492188,855.5
Gaia DR3 3667302325846472320,213.06566557520827,2.4093101388858527,77.28610229492188,855.5
HD 195305,308.04525936866685,-44.75771938558052,200.96209716796875,855.5
SCR J2010-2801,302.5004572716758,-28.02839732080553,46.40694247859479,855.5
CD-58   538,39.75473450592723,-58.18706606592923,16.84352366515075,855.5
V* RY Sex,159.00215147100806,5.120786583129691,15.270299911499023,855.5
G 124-43,216.9820370876051,-0.3751301143973934,17.518199920654297,855.5
G 124-44,216.98338440234292,-0.3717579253833862,17.437700271606445,855.5
G 124-44,216.98338440234292,-0.3717579253833862,17.437700271606445,855.5
V* AY Cet,19.15075342521739,-2.5006521246476354,74.83797578243104,855.5
G 124-44,216.98338440234292,-0.3717579253833862,17.437700271606445,855.5
G 124-44,216.98338440234292,-0.3717579253833862,17.437700271606445,855.5
G 124-43,216.9820370876051,-0.3751301143973934,17.518199920654297,855.5
G 124-44,216.98338440234292,-0.3717579253833862,17.437700271606445,855.5
G 124-43,216.9820370876051,-0.3751301143973934,17.518199920654297,855.5
PM J11422-0122,175.55398369123793,-1.3687129840118293,18.49423627126606,855.5
V* BB Scl,23.755065414092623,-29.90984715332788,26.018561641875312,855.5
SCR J2009-0113,302.32583654605094,-1.2289714355165018,10.840800285339355,855.5
CD-56  1032A,73.38100536092082,-55.8599651712478,11.076700210571287,855.5
V* AB Dor,82.18736509782727,-65.44796165891661,14.851536614235792,855.5
UCAC3 83-414538,354.06526390427445,-48.58364078721765,24.952091983391888,855.5
UCAC3 83-414538,354.06526390427445,-48.58364078721765,24.952091983391888,855.5
UCAC3 83-414538,354.06526390427445,-48.58364078721765,24.952091983391888,855.5
SCR J2009-0113,302.32583654605094,-1.2289714355165018,10.840800285339355,855.5
TYC 7967-1203-1,311.2982385935235,-40.83273164171061,211.14410400390625,855.5
* alf For B,48.019242438399225,-28.984121178116503,14.08274174082404,855.5
HD   3221,8.714179114938315,-61.916381256179015,44.21469879150391,855.5
CD-56  1032A,73.38100536092082,-55.8599651712478,11.076700210571287,855.5
* alf For B,48.019242438399225,-28.984121178116503,14.08274174082404,855.5
G 269-153B,21.116569415584674,-33.919460773430735,25.127080208152734,855.5
HD   9770C,23.75506775545655,-29.90937914705131,21.849995411500966,855.5
Gaia DR3 3667302325846472320,213.06566557520827,2.4093101388858527,77.28610229492188,855.5
V* BB Scl,23.755065414092623,-29.90984715332788,26.018561641875312,855.5
V* AY Cet,19.15075342521739,-2.5006521246476354,74.83797578243104,855.5
V* CC Eri,38.59437994852723,-43.79765690653328,11.520700454711914,855.5
CD-28  1030,46.98061747753933,-28.22022128578243,19.616600036621094,855.5
HD   9770C,23.75506775545655,-29.90937914705131,21.849995411500966,855.5
HD   2726,7.6095876720499716,-48.21526713065239,89.80970001220703,855.5
HD 220096,350.314487065015,-26.9868190860127,101.40033867713116,855.5
HD 220096,350.314487065015,-26.9868190860127,101.40033867713116,855.5
G   9-38B,134.5631170833333,19.762732222222223,5.0952324419563855,855.5
Gaia DR3 4975284381905517824,11.436071926527749,-47.548637979609296,15.09454468060698,855.5
HD   8558,20.839329303533823,-57.48090751727353,45.23139953613281,855.5
V* BC Phe,20.5790036577259,-56.73158964643604,112.4999008178711,855.5
CD-48  1893,84.22975768680871,-47.96330498276605,24.53536158989143,855.5
V* W Cae,72.58987915393729,-45.78042576176694,342.9419860839844,855.5
HD  32517,75.4007423517914,-44.830564411028845,93.79740142822266,855.5
HD  35139,79.93686815918612,-52.0380680207484,159.34970092773438,855.5
V* AE Aqr,310.0384797217098,-0.8707909181473499,91.87259674072266,855.5
Gaia DR3 4975284381907834752,11.435777957393372,-47.54849900150127,14.949850725740504,855.5
V* AE Aqr,310.0384797217098,-0.8707909181473499,91.87259674072266,855.5
V* AE Aqr,310.0384797217098,-0.8707909181473499,91.87259674072266,855.5
G   9-38B,134.5631170833333,19.762732222222223,5.0952324419563855,855.5
G   9-38B,134.5631170833333,19.762732222222223,5.0952324419563855,855.5
G   9-38B,134.5631170833333,19.762732222222223,5.0952324419563855,855.5
G 271-110,24.230680617429517,-6.794333571507654,23.981447951864435,855.5
V* BY Cet,41.86228921936618,-0.2060288819482383,69.0186996459961,855.5
2MASS J18565784-2126185,284.2409648882147,-21.438540149120595,555.5477905273438,855.5
* 109 Vir,221.5616692829817,1.8927928769364968,43.45819854736328,855.5
2MASS J13582164-0046262,209.58970992035077,-0.7742583239108054,45.900194616825175,855.5
PM J14175+0233,214.3757494096465,2.5618019762869007,30.138500213623047,855.5
PM J17021-2740,255.53370583494316,-27.67448537114064,23.87404056199492,855.5
[R78b] 233,54.17069902375673,3.488224272872074,26.77641426326035,855.5
UCAC4 299-008956,90.0459582490192,-30.381627365067654,231.62130737304688,855.5
PM J22035+0340,330.8891066922998,3.6726214722133177,21.780940370319545,855.5
